X0,X1,X2,X3,R
3.227700000000000014e-01,4.245680000000000287e-02,7.202800000000000313e-01,5.298270000000000479e-01,1.499999999999999944e-01
3.986390000000000211e-01,5.093539999999999734e-01,9.459600000000000231e-01,7.474889999999999590e-01,1.499999999999999944e-01
8.631609999999999561e-01,8.990200000000000413e-01,1.297230000000000050e-01,3.794560000000000155e-01,1.499999999999999944e-01
1.033690000000000025e-01,2.081199999999999994e-01,5.682209999999999761e-01,8.868080000000000407e-02,1.499999999999999944e-01
3.555200000000000027e-01,9.287649999999999517e-01,5.713420000000000165e-01,7.937060000000000226e-01,1.499999999999999944e-01
9.694049999999999612e-01,3.500249999999999750e-01,3.164930000000000243e-01,3.536059999999999759e-01,1.499999999999999944e-01
4.664510000000000045e-01,3.929159999999999875e-01,8.125989999999999602e-02,6.366380000000000372e-01,1.499999999999999944e-01
1.184449999999999947e-01,2.073599999999999888e-01,9.423089999999999522e-01,5.856660000000000338e-02,1.499999999999999944e-01
4.415650000000000130e-02,1.528330000000000053e-03,3.181809999999999916e-01,4.557910000000000086e-03,1.499999999999999944e-01
6.170019999999999671e-02,7.271020000000000261e-01,3.174299999999999899e-01,7.822700000000000486e-02,1.499999999999999944e-01
9.591699999999999671e-01,8.979019999999999779e-01,2.006280000000000008e-01,8.634410000000000140e-01,1.499999999999999944e-01
3.621269999999999767e-01,3.849830000000000196e-01,6.452379999999999782e-01,7.353889999999999594e-01,1.499999999999999944e-01
3.550499999999999767e-01,9.426600000000000534e-01,9.945030000000000259e-01,6.396439999999999904e-01,1.499999999999999944e-01
1.028639999999999971e-01,9.274139999999999606e-01,6.315319999999999823e-01,6.080069999999999641e-01,1.499999999999999944e-01
7.813759999999999595e-01,4.063499999999999890e-01,7.480869999999999465e-01,6.494370000000000420e-01,1.499999999999999944e-01
4.466860000000000275e-01,8.389820000000000055e-01,5.039949999999999708e-01,2.318279999999999993e-02,1.499999999999999944e-01
7.337719999999999798e-01,8.274219999999999908e-01,5.211719999999999686e-01,6.900779999999999692e-01,1.499999999999999944e-01
8.737479999999999691e-01,2.742419999999999858e-01,2.102489999999999915e-01,7.552649999999999642e-01,1.499999999999999944e-01
5.803690000000000238e-01,6.634470000000000089e-01,7.085810000000000164e-01,3.752530000000000032e-01,1.499999999999999944e-01
6.214509999999999756e-01,6.994399999999999507e-01,1.301319999999999977e-01,4.803399999999999892e-01,1.499999999999999944e-01
9.977369999999999850e-01,5.739170000000000105e-01,4.642469999999999930e-02,7.898549999999999738e-01,1.499999999999999944e-01
7.336110000000000131e-01,8.592269999999999630e-01,3.285359999999999947e-01,2.067610000000000003e-01,1.499999999999999944e-01
8.563429999999999653e-01,5.653510000000000479e-01,5.188270000000000381e-01,2.773889999999999967e-01,1.499999999999999944e-01
5.925569999999999796e-03,3.313240000000000074e-01,7.237289999999999557e-01,2.856219999999999870e-01,1.499999999999999944e-01
7.132750000000000201e-03,9.815709999999999713e-01,1.310600000000000098e-01,5.788649999999999629e-01,1.499999999999999944e-01
3.464599999999999902e-01,2.712979999999999836e-01,9.160970000000000502e-01,6.260750000000000481e-01,1.499999999999999944e-01
7.294890000000000541e-01,3.242389999999999994e-01,1.087860000000000042e-02,6.013260000000000306e-03,1.499999999999999944e-01
2.769679999999999920e-01,5.258720000000000061e-02,6.684809999999999919e-01,2.970050000000000121e-03,1.499999999999999944e-01
7.976250000000000284e-01,5.886960000000000109e-02,2.871009999999999951e-01,9.654220000000000024e-01,1.499999999999999944e-01
6.693160000000000220e-01,8.867229999999999557e-02,1.950429999999999942e-01,6.076770000000000088e-02,1.499999999999999944e-01
