X,Y,Z,W,R
0.306354,0.948484,0.612334,0.414209,0.15
0.496093,0.592988,0.0397801,0.771145,0.15
0.0102296,0.0503424,0.100185,0.605085,0.15
0.180346,0.323557,0.650989,0.0679669,0.15
0.425165,0.846327,0.720869,0.672146,0.15
0.941288,0.290474,0.345904,0.40787,0.15
0.31555,0.351072,0.114969,0.62913,0.15
0.0509432,0.524941,0.0608392,0.0977225,0.15
0.973454,0.007148,0.256803,0.0783949,0.15
0.927114,0.790756,0.414542,0.989693,0.15
0.127953,0.706237,0.47074,0.884666,0.15
0.55852,0.460882,0.823357,0.69371,0.15
0.300715,0.784863,0.962035,0.664137,0.15
0.995478,0.794792,0.910391,0.426312,0.15
0.818194,0.362171,0.830209,0.76987,0.15
0.172783,0.658749,0.664195,0.0113783,0.15
0.723324,0.929616,0.719126,0.524607,0.15
0.819261,0.343361,0.12893,0.622925,0.15
0.499548,0.585267,0.741048,0.331696,0.15
0.687211,0.66129,0.221218,0.573583,0.15
0.966787,0.579655,0.170679,0.661672,0.15
0.804624,0.803718,0.319994,0.336123,0.15
0.0291118,0.581607,0.674016,0.0306342,0.15
0.0434784,0.447906,0.818164,0.328072,0.15
0.0827824,0.00368618,0.364608,0.472847,0.15
0.291453,0.27411,0.929919,0.677694,0.15
0.707488,0.385617,0.234897,0.028931,0.15
0.588712,0.972158,0.853209,0.0198502,0.15
0.929784,0.153479,0.331646,0.928938,0.15
0.732361,0.924109,0.163727,0.0950859,0.15
0.0483601,0.739333,0.191175,0.957484,0.15
0.167615,0.762191,0.185354,0.375631,0.15
0.34965,0.946858,0.0169196,0.412324,0.15
0.724594,0.987475,0.36027,0.563552,0.15
0.187583,0.978837,0.366087,0.315128,0.15
0.159441,0.998962,0.0260243,0.559402,0.15
0.0183145,0.028789,0.754938,0.762684,0.15
0.451521,0.267316,0.606367,0.0894571,0.15
0.551689,0.0568279,0.298048,0.738258,0.15
0.98936,0.943621,0.383226,0.86987,0.15
0.648974,0.443786,0.432702,0.615385,0.15
0.218365,0.626264,0.647475,0.482384,0.15
0.0579553,0.409362,0.393064,0.539226,0.15
0.510452,0.0499351,0.408067,0.0342122,0.15
0.316979,0.550906,0.917561,0.0212728,0.15
0.58073,0.381986,0.209928,0.353301,0.15
0.79321,0.126937,0.613722,0.595842,0.15
0.414568,0.672994,0.398501,0.694744,0.15
0.874707,0.999428,0.128602,0.81704,0.15
0.344554,0.981131,0.27345,0.542468,0.15
0.667206,0.850955,0.0434295,0.726992,0.15
0.3112,0.399738,0.105213,0.994825,0.15
0.0681153,0.199717,0.432234,0.966227,0.15
0.639064,0.651762,0.933253,0.980125,0.15
0.184731,0.0516634,0.437364,0.718946,0.15
0.950468,0.40629,0.706248,0.35073,0.15
0.968794,0.187634,0.733318,0.920887,0.15
0.0312157,0.249241,0.0156361,0.628483,0.15
0.0823597,0.663342,0.922933,0.163972,0.15
0.714981,0.0704958,0.0664406,0.984517,0.15
0.796697,0.589867,0.958709,0.904646,0.15
0.995804,0.136036,0.510011,0.738133,0.15
0.811647,0.0179181,0.974092,0.737864,0.15
0.718931,0.210326,0.0711992,0.281172,0.15
0.389257,0.153518,0.11656,0.855936,0.15
0.838986,0.837137,0.994521,0.355284,0.15
0.344427,0.863575,0.0891158,0.0604256,0.15
0.00782525,0.933999,0.601967,0.625503,0.15
0.983574,0.687532,0.384083,0.503223,0.15
0.677724,0.392309,0.50697,0.335946,0.15
0.68135,0.966011,0.704506,0.930055,0.15
0.349371,0.996509,0.906657,0.921056,0.15
0.595663,0.713802,0.49577,0.9309,0.15
0.174735,0.607097,0.0444917,0.814093,0.15
0.540718,0.425078,0.00733001,0.358665,0.15
0.558495,0.126465,0.0320292,0.0526524,0.15
0.0115037,0.0440467,0.515467,0.275144,0.15
0.496875,0.151272,0.470785,0.373237,0.15
0.0206815,0.453821,0.621577,0.679142,0.15
0.531674,0.171231,0.975372,0.892249,0.15
0.952633,0.417714,0.467205,0.634674,0.15
0.429752,0.574038,0.440192,0.372023,0.15
0.196489,0.0281284,0.981062,0.362962,0.15
0.78842,0.675574,0.418876,0.754439,0.15
0.716676,0.997802,0.576097,0.186137,0.15
0.00267304,0.754431,0.472926,0.354398,0.15
0.344437,0.49072,0.401999,0.968692,0.15
0.96856,0.416105,0.261607,0.972295,0.15
0.136961,0.206861,0.296063,0.304261,0.15
0.309519,0.389342,0.399697,0.114379,0.15
0.968931,0.857517,0.674422,0.99302,0.15
0.785933,0.522929,0.902927,0.15142,0.15
0.788501,0.588375,0.420592,0.997387,0.15
0.985365,0.769222,0.65928,0.677714,0.15
0.766972,0.219411,0.440571,0.0897682,0.15
0.0226273,0.229793,0.0948166,0.00250797,0.15
0.184045,0.474442,0.191532,0.390888,0.15
0.0325059,0.010046,0.377589,0.991647,0.15
0.510994,0.156385,0.806644,0.229519,0.15
0.70229,0.245593,0.745249,0.0598578,0.15
