X,Y,Z,W,R
0.324359,0.911244,0.538423,0.289397,0.15
0.545979,0.52886,0.160188,0.761585,0.15
0.175778,0.0554144,0.0474291,0.766281,0.15
0.145672,0.343529,0.734151,0.0128521,0.15
0.55333,0.806819,0.736189,0.53458,0.15
0.830625,0.209415,0.310275,0.335865,0.15
0.312521,0.324396,0.13196,0.658841,0.15
0.00616466,0.702875,0.240352,0.0518638,0.15
0.984755,0.00269641,0.205171,0.161007,0.15
0.84366,0.903192,0.28854,0.965024,0.15
0.304705,0.528134,0.705709,0.890483,0.15
0.675813,0.53401,0.891188,0.645296,0.15
0.189747,0.727756,0.966601,0.65404,0.15
0.0485035,0.643082,0.0346045,0.395909,0.15
0.808275,0.290941,0.869849,0.823402,0.15
0.12897,0.644412,0.71244,0.0550141,0.15
0.651234,0.023377,0.901822,0.349665,0.15
0.745217,0.356524,0.0424661,0.517844,0.15
0.503236,0.568152,0.709127,0.260097,0.15
0.702344,0.576638,0.202167,0.528632,0.15
0.00280945,0.596197,0.160596,0.653741,0.15
0.734513,0.78066,0.318532,0.339756,0.15
0.984556,0.436703,0.966516,0.916564,0.15
0.122269,0.389789,0.835729,0.454602,0.15
0.940722,0.99569,0.384567,0.626894,0.15
0.265614,0.320683,0.930252,0.712713,0.15
0.632882,0.408564,0.219204,0.030147,0.15
0.672634,0.967925,0.97425,0.123702,0.15
0.93797,0.226393,0.358624,0.976946,0.15
0.764488,0.729911,0.129964,0.049043,0.15
0.0260773,0.685916,0.288351,0.950494,0.15
0.118264,0.822618,0.314371,0.308477,0.15
0.333756,0.865184,0.0900338,0.375346,0.15
0.724127,0.0127849,0.347291,0.525242,0.15
0.0958804,0.988671,0.391908,0.197401,0.15
0.936519,0.991484,0.0570831,0.644823,0.15
0.138045,0.97573,0.860749,0.762437,0.15
0.485928,0.330408,0.622624,0.0706094,0.15
0.625544,0.288664,0.495541,0.852843,0.15
0.165353,0.91231,0.493738,0.898306,0.15
0.74594,0.479465,0.48251,0.579503,0.15
0.117234,0.596392,0.642574,0.533841,0.15
0.99489,0.395498,0.509875,0.489069,0.15
0.490997,0.0860465,0.384373,0.125834,0.15
0.333316,0.623742,0.95149,0.0423283,0.15
0.552865,0.429248,0.237642,0.325134,0.15
0.743804,0.0880516,0.645264,0.559242,0.15
0.417052,0.661988,0.388339,0.712393,0.15
0.521378,0.988506,0.378334,0.753329,0.15
0.264028,0.0271019,0.287313,0.616354,0.15
0.70189,0.736927,0.959402,0.434368,0.15
0.346678,0.365739,0.161657,0.986039,0.15
0.0863893,0.0625017,0.382837,0.993785,0.15
0.691009,0.523323,0.956086,0.952827,0.15
0.354456,0.0535012,0.677078,0.692471,0.15
0.92774,0.376278,0.75229,0.282994,0.15
0.972115,0.171702,0.705344,0.0425525,0.15
0.985072,0.182658,0.820093,0.509902,0.15
0.0571229,0.771445,0.982123,0.0523367,0.15
0.765,0.999321,0.261986,0.992818,0.15
0.830441,0.64079,0.0721827,0.819128,0.15
0.0520918,0.31759,0.559645,0.774994,0.15
0.96048,0.198714,0.0529863,0.788697,0.15
0.911347,0.245005,0.99846,0.292919,0.15
0.404598,0.00575417,0.133347,0.843804,0.15
0.724002,0.825863,0.0494364,0.45031,0.15
0.456284,0.862318,0.138494,0.129158,0.15
0.00854487,0.0564401,0.754504,0.788494,0.15
0.0479146,0.754321,0.438163,0.515094,0.15
0.731449,0.439284,0.558442,0.278589,0.15
0.73234,0.00688022,0.624683,0.868623,0.15
0.333489,0.900926,0.846182,0.0258555,0.15
0.425919,0.946684,0.513386,0.890567,0.15
0.146969,0.506309,0.99765,0.811334,0.15
0.505894,0.37213,0.891602,0.399182,0.15
0.609248,0.142228,0.108326,0.0255425,0.15
0.994164,0.159199,0.636625,0.414618,0.15
0.525459,0.107852,0.610068,0.310259,0.15
0.038513,0.491625,0.810508,0.735463,0.15
0.510516,0.280092,0.989414,0.935605,0.15
0.96272,0.280666,0.250697,0.702143,0.15
0.407292,0.671848,0.446771,0.432214,0.15
0.117447,0.28474,0.98854,0.403305,0.15
0.894525,0.717116,0.460238,0.643552,0.15
0.803321,0.98743,0.690522,0.322421,0.15
0.00499733,0.851751,0.771545,0.280417,0.15
0.269008,0.261322,0.499982,0.9796,0.15
0.0844974,0.438125,0.365061,0.978349,0.15
0.158783,0.191377,0.256651,0.331628,0.15
0.33606,0.336709,0.319968,0.158152,0.15
0.038721,0.884692,0.73805,0.0220172,0.15
0.701563,0.517621,0.842439,0.157437,0.15
0.773409,0.626579,0.462371,0.0503715,0.15
0.0168759,0.685689,0.547469,0.799115,0.15
0.735516,0.216969,0.514987,0.0829417,0.15
0.954036,0.195366,0.952474,0.0052688,0.15
0.123264,0.516071,0.296193,0.321259,0.15
0.982012,0.911115,0.367578,0.0384412,0.15
0.386665,0.169671,0.946238,0.213709,0.15
0.694895,0.293071,0.800365,0.999315,0.15
