X,Y,Z,W,R
0.558163,0.954284,0.517173,0.0453669,0.15
0.695287,0.338932,0.303846,0.803014,0.15
0.510767,0.995839,0.980334,0.0625823,0.15
0.274335,0.368535,0.974688,0.933914,0.15
0.758289,0.710122,0.668076,0.30826,0.15
0.786247,0.209797,0.268616,0.0882777,0.15
0.322325,0.325303,0.090969,0.635613,0.15
0.0359117,0.66984,0.382774,0.877019,0.15
0.996775,0.0350713,0.12475,0.275629,0.15
0.872441,0.992256,0.935796,0.0378326,0.15
0.677228,0.338623,0.910316,0.825095,0.15
0.834399,0.791726,0.96817,0.492313,0.15
0.0485617,0.767802,0.00366914,0.539019,0.15
0.985792,0.472598,0.86518,0.315273,0.15
0.742579,0.161058,0.889255,0.578348,0.15
0.121687,0.653025,0.663422,0.216528,0.15
0.520993,0.372216,0.071448,0.175423,0.15
0.773234,0.14876,0.87425,0.265476,0.15
0.244147,0.716305,0.391287,0.208387,0.15
0.814503,0.590586,0.236239,0.509803,0.15
0.201689,0.635178,0.246735,0.660154,0.15
0.678883,0.763455,0.443054,0.4191,0.15
0.0119716,0.374843,0.663142,0.00323182,0.15
0.0636947,0.266818,0.82563,0.47775,0.15
0.715625,0.997596,0.293892,0.868581,0.15
0.397152,0.188848,0.00437652,0.87512,0.15
0.544894,0.603366,0.439264,0.976601,0.15
0.890193,0.974713,0.981877,0.378227,0.15
0.0458564,0.432348,0.445312,0.989044,0.15
0.88472,0.374787,0.0225617,0.00797661,0.15
0.000703395,0.780027,0.240121,0.068066,0.15
0.987369,0.902932,0.636383,0.0489405,0.15
0.265769,0.700866,0.138321,0.389287,0.15
0.627793,0.99809,0.302099,0.467784,0.15
0.954324,0.998064,0.418178,0.473995,0.15
0.491655,0.996506,0.0434052,0.854994,0.15
0.361478,0.953724,0.0117692,0.800511,0.15
0.442471,0.388247,0.5929,0.931071,0.15
0.871391,0.898416,0.849179,0.0499906,0.15
0.414933,0.986545,0.505924,0.920766,0.15
0.596733,0.555225,0.57748,0.565496,0.15
0.0928748,0.648725,0.674106,0.689076,0.15
0.0122409,0.452282,0.595571,0.366671,0.15
0.383288,0.00670303,0.306627,0.287298,0.15
0.370572,0.654945,0.0997729,0.0893652,0.15
0.463834,0.542465,0.310832,0.292676,0.15
0.635148,0.984902,0.681884,0.518179,0.15
0.34173,0.688927,0.461949,0.80075,0.15
0.0289787,0.989669,0.598827,0.202731,0.15
0.16153,0.061248,0.328488,0.859541,0.15
0.881219,0.61153,0.233118,0.223359,0.15
0.368187,0.267839,0.317471,0.976008,0.15
0.912028,0.0662857,0.252743,0.822407,0.15
0.894135,0.454681,0.99034,0.675957,0.15
0.585141,0.0727416,0.197869,0.603066,0.15
0.959951,0.455972,0.615562,0.109993,0.15
0.899468,0.224633,0.584087,0.288632,0.15
0.0217333,0.98544,0.83187,0.318059,0.15
0.0302891,0.849283,0.0536969,0.7764,0.15
0.656967,0.0415972,0.536534,0.912159,0.15
0.748221,0.845443,0.21983,0.660081,0.15
0.240782,0.226147,0.598016,0.777638,0.15
0.087329,0.143646,0.0414403,0.76263,0.15
0.365077,0.11157,0.966222,0.286202,0.15
0.348136,0.623466,0.0641827,0.83762,0.15
0.453504,0.803081,0.0911599,0.630121,0.15
0.506588,0.830743,0.207413,0.939319,0.15
0.877009,0.122246,0.0814318,0.987614,0.15
0.107554,0.901711,0.401375,0.653026,0.15
0.704847,0.420877,0.45316,0.339706,0.15
0.875572,0.172318,0.66856,0.795828,0.15
0.280304,0.85958,0.687989,0.255012,0.15
0.364225,0.0702018,0.821029,0.985987,0.15
0.0975652,0.382416,0.0978615,0.0505797,0.15
0.390111,0.344002,0.548618,0.605993,0.15
0.681367,0.131204,0.157928,0.927274,0.15
0.0143429,0.244871,0.412325,0.634778,0.15
0.536302,0.0200734,0.924754,0.222644,0.15
0.947866,0.458303,0.155937,0.732396,0.15
0.0969337,0.344568,0.92922,0.0430762,0.15
0.998015,0.125519,0.262656,0.483769,0.15
0.41043,0.770649,0.414986,0.542892,0.15
0.000727763,0.453768,0.283206,0.499809,0.15
0.0642121,0.754907,0.468,0.419692,0.15
0.934155,0.965529,0.782449,0.579576,0.15
0.0832594,0.976871,0.340292,0.291737,0.15
0.130316,0.145258,0.650041,0.138819,0.15
0.331919,0.421126,0.518696,0.145052,0.15
0.221464,0.99733,0.107851,0.485331,0.15
0.197414,0.391697,0.117202,0.317131,0.15
0.0103057,0.0277519,0.685842,0.988702,0.15
0.545763,0.463493,0.749287,0.0714905,0.15
0.792419,0.736103,0.501974,0.0415166,0.15
0.908379,0.602405,0.523616,0.988979,0.15
0.666952,0.259184,0.564586,0.117968,0.15
0.0323789,0.148787,0.0118969,0.207388,0.15
0.00212784,0.557942,0.391044,0.199793,0.15
0.98902,0.993667,0.579681,0.987244,0.15
0.156292,0.985663,0.0576442,0.953313,0.15
0.731624,0.047861,0.834818,0.00486427,0.15
