X,Y,Z,W,R
0.457981,0.079688,0.688499,0.498077,0.15
0.253514,0.550032,0.0070843,0.777037,0.15
0.796133,0.867455,0.0531252,0.134574,0.15
0.871772,0.189942,0.471407,0.966271,0.15
0.319535,0.0113579,0.364334,0.740484,0.15
0.983327,0.380953,0.306699,0.324125,0.15
0.601418,0.513634,0.989973,0.735603,0.15
0.209392,0.980251,0.135902,0.842795,0.15
0.480277,0.936017,0.409567,0.986701,0.15
0.145854,0.746637,0.0601353,0.975839,0.15
0.847228,0.899621,0.890182,0.89133,0.15
0.146051,0.330071,0.473753,0.838143,0.15
0.468688,0.0683558,0.964876,0.91041,0.15
0.170615,0.0148602,0.572176,0.575576,0.15
0.775066,0.474363,0.631097,0.537987,0.15
0.497812,0.650746,0.45045,0.970298,0.15
0.737657,0.712603,0.387313,0.706022,0.15
0.974689,0.268281,0.253382,0.815344,0.15
0.73058,0.7294,0.660939,0.395899,0.15
0.642808,0.695526,0.0308756,0.405833,0.15
0.930939,0.491436,0.00198296,0.0915159,0.15
0.820687,0.692916,0.439491,0.146613,0.15
0.655201,0.537796,0.438103,0.38964,0.15
0.0229274,0.189152,0.646609,0.347587,0.15
0.935973,0.98985,0.927213,0.568694,0.15
0.262234,0.387756,0.858374,0.53683,0.15
0.669296,0.0747019,0.620079,0.0237306,0.15
0.99502,0.0343262,0.337455,0.0934658,0.15
0.930124,0.230828,0.791824,0.925688,0.15
0.408648,0.242922,0.225865,0.900007,0.15
0.014152,0.701016,0.0500353,0.324169,0.15
0.288621,0.654156,0.799976,0.539968,0.15
0.189111,0.0590096,0.890054,0.537027,0.15
0.59482,0.0353706,0.183183,0.419767,0.15
0.502367,0.996751,0.462866,0.133943,0.15
0.307795,0.997937,0.0232328,0.255889,0.15
0.638555,0.987081,0.897049,0.654703,0.15
0.603466,0.178491,0.357829,0.044352,0.15
0.710189,0.671347,0.729499,0.973871,0.15
0.366092,0.977724,0.552113,0.577724,0.15
0.445397,0.206819,0.345229,0.6261,0.15
0.289867,0.747926,0.527037,0.483383,0.15
0.345371,0.554391,0.081408,0.747215,0.15
0.608115,0.973779,0.167036,0.673347,0.15
0.378543,0.183959,0.607032,0.123279,0.15
0.561993,0.401284,0.207919,0.497981,0.15
0.776756,0.147991,0.559879,0.608034,0.15
0.419164,0.755777,0.262076,0.649729,0.15
0.542942,0.149765,0.539598,0.809395,0.15
0.5541,0.919021,0.0916801,0.242922,0.15
0.42438,0.153505,0.911513,0.266772,0.15
0.299348,0.684836,0.841544,0.00322217,0.15
0.0260796,0.977022,0.521676,0.704755,0.15
0.948949,0.0366051,0.858308,0.193297,0.15
0.885788,0.974162,0.248777,0.0185205,0.15
0.00274488,0.232603,0.525787,0.624937,0.15
0.0638701,0.315129,0.63944,0.998,0.15
0.0306015,0.727117,0.608587,0.552618,0.15
0.200203,0.667683,0.524236,0.0666016,0.15
0.0336304,0.98415,0.597485,0.174855,0.15
0.992124,0.602984,0.7592,0.961059,0.15
0.019921,0.766065,0.0534583,0.735605,0.15
0.557901,0.6293,0.685292,0.665454,0.15
0.491827,0.0762014,0.994816,0.557659,0.15
0.30577,0.312656,0.878079,0.965735,0.15
0.585232,0.142001,0.944002,0.992228,0.15
0.276628,0.952034,0.80506,0.921903,0.15
0.0377612,0.752491,0.303722,0.174447,0.15
0.00610492,0.308119,0.0748015,0.646251,0.15
0.59438,0.28022,0.710111,0.383005,0.15
0.796586,0.968639,0.542866,0.0119562,0.15
0.100006,0.00611362,0.71607,0.518584,0.15
0.637314,0.346258,0.656956,0.117204,0.15
0.434641,0.851329,0.975151,0.748738,0.15
0.572502,0.528473,0.939224,0.240243,0.15
0.0528667,0.124648,0.0512429,0.273135,0.15
0.968718,0.982879,0.766215,0.993411,0.15
0.240746,0.0539116,0.116584,0.614042,0.15
0.992146,0.0403501,0.179325,0.731283,0.15
0.716088,0.278837,0.885643,0.560646,0.15
0.0230592,0.466947,0.0319191,0.861199,0.15
0.422042,0.439492,0.46007,0.254528,0.15
0.402942,0.761747,0.98874,0.0442082,0.15
0.649968,0.418354,0.262373,0.77323,0.15
0.864083,0.986465,0.365431,0.874,0.15
0.00488449,0.569148,0.936656,0.149397,0.15
0.353297,0.0778688,0.0487028,0.0376327,0.15
0.706438,0.503337,0.864932,0.0107454,0.15
0.254204,0.0663203,0.33043,0.295783,0.15
0.229198,0.405794,0.340019,0.038675,0.15
0.992197,0.656834,0.448595,0.971906,0.15
0.70787,0.20876,0.991202,0.357947,0.15
0.802448,0.51599,0.253006,0.0242242,0.15
0.944197,0.709496,0.209016,0.651999,0.15
0.954457,0.995683,0.185864,0.193913,0.15
0.17999,0.494119,0.174318,0.996007,0.15
0.301314,0.440017,0.694281,0.280329,0.15
0.931553,0.0123599,0.851617,0.988432,0.15
0.75706,0.992813,0.581251,0.506878,0.15
0.998165,0.576174,0.690336,0.122667,0.15
