X,Y,Z,W,R
0.340054,0.0747476,0.735102,0.535384,0.15
0.36199,0.479726,0.947485,0.739409,0.15
0.853588,0.876355,0.109839,0.344364,0.15
0.0652335,0.197053,0.547305,0.0737952,0.15
0.341127,0.932653,0.527696,0.792757,0.15
0.957469,0.346928,0.294548,0.321157,0.15
0.503687,0.4037,0.0604146,0.645612,0.15
0.136586,0.127489,0.934354,0.0328041,0.15
0.124841,0.985105,0.364105,0.0047889,0.15
0.0749195,0.716119,0.269883,0.0735056,0.15
0.932087,0.899173,0.132732,0.860631,0.15
0.316809,0.371557,0.605964,0.750957,0.15
0.368725,0.995024,0.986888,0.642344,0.15
0.143049,0.953722,0.628754,0.612387,0.15
0.763833,0.413881,0.735129,0.626778,0.15
0.447268,0.818588,0.49326,0.00690312,0.15
0.727914,0.806563,0.488732,0.697949,0.15
0.886842,0.283949,0.225313,0.785119,0.15
0.611212,0.685211,0.69431,0.37884,0.15
0.614587,0.689118,0.102088,0.44623,0.15
0.00806792,0.574293,0.00489026,0.819751,0.15
0.752689,0.830144,0.360291,0.195193,0.15
0.8073,0.554489,0.496563,0.307253,0.15
0.000783428,0.304758,0.696963,0.302266,0.15
0.998973,0.980819,0.0737185,0.599881,0.15
0.356795,0.26426,0.90945,0.600958,0.15
0.73099,0.305006,0.947648,0.000803511,0.15
0.209468,0.0375492,0.60308,0.000597295,0.15
0.764145,0.0744241,0.235138,0.964513,0.15
0.644521,0.103146,0.188237,0.031403,0.15
0.951477,0.753808,0.971684,0.100405,0.15
0.279155,0.709475,0.956694,0.490476,0.15
0.846209,0.019781,0.890439,0.412026,0.15
0.621396,0.0115745,0.340833,0.437647,0.15
0.531919,0.963594,0.464081,0.258566,0.15
0.28052,0.995907,0.996483,0.453451,0.15
0.828695,0.0147381,0.830369,0.712312,0.15
0.528877,0.190046,0.503201,0.0720011,0.15
0.611188,0.797932,0.0175788,0.845556,0.15
0.749424,0.990578,0.988386,0.668478,0.15
0.444541,0.351677,0.373251,0.671675,0.15
0.297251,0.696503,0.58711,0.496493,0.15
0.253735,0.490969,0.225235,0.677969,0.15
0.544346,0.966221,0.377141,0.838634,0.15
0.335913,0.389628,0.822289,0.0172645,0.15
0.609621,0.403214,0.224418,0.432918,0.15
0.74603,0.148483,0.60461,0.592817,0.15
0.392487,0.714424,0.356621,0.664957,0.15
0.42942,0.0451878,0.694095,0.842498,0.15
0.481535,0.925126,0.121834,0.355875,0.15
0.587413,0.0298986,0.0887913,0.204159,0.15
0.249075,0.550757,0.927674,0.999084,0.15
0.0887488,0.730049,0.539991,0.873482,0.15
0.224382,0.976643,0.924918,0.057436,0.15
0.0806545,0.0194659,0.126328,0.856662,0.15
0.961006,0.320862,0.598788,0.486929,0.15
0.00455447,0.33286,0.719416,0.963308,0.15
0.0467196,0.571515,0.94063,0.72298,0.15
0.134957,0.640762,0.680682,0.100474,0.15
0.839836,0.0499186,0.821948,0.071599,0.15
0.946225,0.56831,0.864033,0.982517,0.15
0.0365591,0.892905,0.333269,0.708344,0.15
0.545576,0.700845,0.85289,0.663233,0.15
0.516155,0.145858,0.0170778,0.423047,0.15
0.285626,0.251592,0.980239,0.894436,0.15
0.76069,0.958456,0.977628,0.115264,0.15
0.239463,0.910175,0.965466,0.952608,0.15
0.996158,0.767278,0.421173,0.320059,0.15
0.998546,0.528675,0.189211,0.568049,0.15
0.646587,0.325659,0.62628,0.359041,0.15
0.790559,0.915604,0.615276,0.966242,0.15
0.13876,0.00361224,0.964042,0.740007,0.15
0.628208,0.454422,0.605487,0.0808811,0.15
0.29872,0.710569,0.0374583,0.759815,0.15
0.564824,0.535258,0.997204,0.331196,0.15
0.255206,0.139339,0.0369873,0.137573,0.15
0.0565022,0.981442,0.623995,0.0152283,0.15
0.369518,0.102567,0.276497,0.511034,0.15
0.00636621,0.280176,0.394056,0.672944,0.15
0.658079,0.231927,0.909693,0.701406,0.15
0.960574,0.919918,0.804535,0.742113,0.15
0.427623,0.489446,0.46729,0.301679,0.15
0.203125,0.738758,0.00470149,0.243101,0.15
0.68942,0.555015,0.360059,0.736769,0.15
0.689111,0.0224444,0.394333,0.952754,0.15
0.986436,0.618632,0.0842119,0.314204,0.15
0.403345,0.850283,0.193346,0.991899,0.15
0.798381,0.410917,0.999484,0.994115,0.15
0.176595,0.152575,0.343974,0.246771,0.15
0.199224,0.505409,0.396058,0.0763899,0.15
0.97496,0.773701,0.688973,0.00592935,0.15
0.894161,0.493842,0.0619353,0.313866,0.15
0.82269,0.457031,0.298071,0.98857,0.15
0.975656,0.716056,0.0473529,0.480249,0.15
0.915636,0.172479,0.331085,0.126365,0.15
0.165979,0.348902,0.159764,0.00840649,0.15
0.284429,0.452817,0.909642,0.345891,0.15
0.993088,0.0400028,0.207618,0.0311726,0.15
0.618777,0.0215756,0.605022,0.352883,0.15
0.908909,0.293498,0.626614,0.0962633,0.15
